Ulvama,Ulvama |,Female |,29 |,Hobgoblin | Goblin |,Alive |,Flooded Waters Tribe | Fellowship of the Inn |,Izril |,Dwarfhall's Rest | Goblinhome | The Wandering Inn |,Shaman |,Mage |,https://wiki.wanderinginn.com/images/9/9b/Ulvama_by_pkay.jpg,1,3553,3
Rags,Rags | Chieftain | Lilbrasi |,Female |,4 |,Goblin |,Alive |,Flooded Waters Tribe | The Wandering Inn |,Izril |,Goblinhome | The Wandering Inn |,Chieftain |,Mage | Leader |,https://wiki.wanderinginn.com/images/thumb/d/d5/Rags_official_by_ArtsyNada.webp/1878px-Rags_official_by_ArtsyNada.webp.png,1,8091,1
Foliana,Foliana | Three-Color Stalker | Stalker of Baleros | Supreme Muffin Commander |,Female |,50 |,Beastkin |,Alive |,Forgotten Wing Company |,Baleros |,Elvallian |,Assassin | General |,Rogue |,https://wiki.wanderinginn.com/images/9/91/Supreme_muffin_commander.png,1,1315,4
Niers,Niers Astoragon | The Titan of Baleros | Titan of Swamps and Jungle | The Marsh-parter | Professor | The World's Smallest Strategist | Tallman of Baleros |,Male |,50 |,Fraerling |,Alive |,Forgotten Wing Company | Titan's School | Fellowship of the Inn |,Baleros |,Elvallian |,Strategist | Noble |,Leader |,https://wiki.wanderinginn.com/images/5/5b/Niers_portrait_by_sirduckless.jpg,1,5901,2
Pawn,Pawn |,Male |,3 |,Antinium |,Alive |,Free Antinium |,Izril |,Liscor |,Priest |,Priest |,https://wiki.wanderinginn.com/images/6/66/Pawn_by_Jason_Yao.png,1,4693,1
Klbkch,Klbkchhezeim | Klb | Klbkch | Klbkch the Slayer | Klbkch of the Centenium | Senior Guardsman Klbkch | Klbkchhezeim of the Free Antinium | Old Man Klb |,Male |,6000 |,Antinium |,Alive |,Free Antinium | Liscor's City Watch | Centenium,Izril | Rhir |,Liscor | Demon Kingdom |,Guard | Centenium | Prognugator |,Warrior |,https://wiki.wanderinginn.com/images/0/0f/Klbkch_by_Enuryn_cut.jpg,1,6550,1
Bird,Bird | Little Bird | Bird the Hunter | Bird the Liar | Sky Hunter | Bird of the True Antinium of Izril | Second Queen of the Free Antinium |,Female |,2 |,Antinium |,Alive |,Free Antinium | The Wandering Inn | Fellowship of the Inn |,Izril |,The Wandering Inn |,Guard | Monarch |,Archer |,https://wiki.wanderinginn.com/images/c/ca/Bird_the_Hunter_by_Bobo_Plushie.PNG,1,5305,1
Xrn,Xrniavxxel | Xrn | The Small Queen Xrn | Xrn of the Centenium |,Female |,,Antinium |,Alive |,Grand Hive | Free Antinium | Centenium,Izril |,Hivelands | High Passes |,Centenium | Prognugator | Monarch |,Mage |,https://wiki.wanderinginn.com/images/5/5c/Xrn_by_Enuryn.jpg,1,1275,1
Luan,Luan Khumalo | Luan the Rower | The Rower of Talenqual | Luan the Olympian |,Male |,25 |,Human |,Alive |,Gravetender's Fist | United Nations | Earthers,Baleros |,Talenqual |,Courier | Runner |,Non-combat |,,1,2278,4
Halrac,Halrac Everam | Halrac the Grim |,Male |,,Human |,Deceased |,Griffon Hunt | Order of Solstice,Izril |,The Wandering Inn | Riverfarm | North Izril |,Adventurer | Knight |,Archer |,https://wiki.wanderinginn.com/images/c/cf/Halrac_upperhalf_by_MG.jpg,1,2720,2
Moore,Moore | Moore of Raithland | Farwalker |,Male |,31 |,Half-Giant |,Deceased |,Halfseekers |,Izril |,The Wandering Inn |,Adventurer |,Mage |,https://wiki.wanderinginn.com/images/9/95/Moore_by_MG.jpg,1,1490,2
Jelaqua,Jelaqua Ivirith | Ivirith the Tempest |,Female |,58 |,Selphid |,Alive |,Halfseekers |,Izril |,The Wandering Inn | Pallass |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/e/e4/Jelaqua-by-artsynada.jpg,1,2267,2
Garen,Garen Redfang |,Male |,14 |,Hobgoblin | Goblin |,Deceased |,Halfseekers | Redfang Tribe |,Izril |,North Izril |,Chieftain |,Warrior | Leader |,https://wiki.wanderinginn.com/images/0/0c/Garen_by_Pkay.png,1,2415,2
Ksmvr,"Ksmvr | Ksm | Ksmvr of Chandrar | Ksmvr of the Horns of Hammerad | Ksmvr of the Free Antinium | Ksmvr of Liscor | Ksmvr of Two Trees | Ksmvr, the Dancing Antinium |",Male |,3 |,Antinium |,Alive |,Horns of Hammerad |,Izril | Chandrar |,The Wandering Inn | Illivere |,Adventurer | Prognugator |,Warrior |,https://wiki.wanderinginn.com/images/c/c1/Ksmvr_Crossbow_by_Auspiciousoctopi.jpg,1,6297,1
Ceria,Ceria Springwalker | Ice Squirrel | Ice Weasel | Captain Ceria | Professor Springwalker |,Female |,65 |,Half-Elf |,Alive |,Horns of Hammerad |,Izril | Terandria | Wistram | Chandrar |,Erribathe | Liscor | Wistram |,Adventurer | Mage |,Mage |,https://wiki.wanderinginn.com/images/1/1e/Ceria_Springwalker_by_Dr.replig8r.PNG,1,14186,1
Pisces,Pisces Jealnet | Necro Boy | Necro-Lad | Comrade Pisces | Pisces the Nose | Bane of Roshal |,Male |,23 |,Human |,Alive |,Horns of Hammerad |,Izril | Terandria | Wistram | Chandrar |,The Wandering Inn | Wistram | Ailendamus |,Adventurer | Mage |,Mage |,https://wiki.wanderinginn.com/images/1/16/Pisces_by_JY.PNG,1,13592,1
Colthei,Colthei Lacment | Colth | Colth the Supporter | Ultimate Supporter | The World's Greatest [Supporter] | Colth of the Demonic Smile | Colthei the Demon | Cheerful Lad |,Male |,30 |,Human |,Alive |,Horns of Hammerad |,Izril |,Adventurer's Haven |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/1/1b/Colth_the_Supporter_by_Fiore.png,1,2438,9
Yvlon,Yvlon Byres | Yv | Yvlon the Silver Arm | Slaughterer of Silver | Yvlon Silverarm | One-Armed Slaughterer | Silver-Killer | Silverarm | The Silver Killer of Izril |,Female |,,Human |,Alive |,Horns of Hammerad | House Byres,Izril | Chandrar |,The Wandering Inn | Byers' Lands | Nerrhavia's Fallen |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/2/26/Yvlon_by_pkay.png,1,9248,1
Calruz,Calruz | Calruz of the Beriad | Mr. Grumpy | bull-guy | cow-guy | One arm | Horn Chieftain |,Male |,,Minotaur |,Alive |,Horns of Hammerad | Liscor's Dungeon |,Izril |,Liscor | North Izril |,Adventurer | Soldier |,Warrior |,https://wiki.wanderinginn.com/images/4/42/Calruz_by_DemonicCriminal.jpg,1,1968,1
Ylawes,Ylawes Byres | The Savior of Esthelm |,Male |,28 |,Human |,Alive |,House Byres | Silver Swords |,Izril |,Byers' Lands | New Lands |,Adventurer | Knight |,Warrior |,https://wiki.wanderinginn.com/images/f/fb/Ylawes-by-mg.jpg,1,2710,3
Maviola,Maviola |,Female |,1 |,Undead |,Active |,House El |,Izril |,North Izril | The Wandering Inn |,Noble |,Non-combat |,https://wiki.wanderinginn.com/images/f/f1/Maviola_by_auspiciousOctopi.jpg,1,4383,1
Magnolia,Magnolia Reinhart | Lady Magnolia | The Deadly Flower Blooming In The North | Flower Lady | Mags |,Female |,47 |,Human |,Alive |,House Reinhart |,Izril |,Invrisil | Celum |,Noble |,Non-combat |,https://wiki.wanderinginn.com/images/c/ca/Magnolia_by_LeChatDemon.jpg,1,7433,1
Tyrion,Tyrion Veltras | Lord Tyrion | Lance of the North | Smiling Man |,Male |,28 |,Human |,Alive |,House Veltras |,Izril |,Veltras Lands |,Noble |,Warrior | Leader |,https://wiki.wanderinginn.com/images/a/aa/Tyrionveltras-by-monikaismywaifu.jpg,1,5453,1
Hedault,Hedault |,Male |,30 |,Human |,Alive |,Horns of Hammerad |,Izril |,Invrisil |,Enchanter | Merchant |,Non-combat |,https://wiki.wanderinginn.com/images/b/b6/Hedault_by_mg.jpg,1,850,3
Raelt,Raelt Leysars | King Raelt | Raelt of Jecrass | King of Jecrass | King of Duels | Duelist King | Horselord of the Plains | Defender of Belchan |,Male |,40 |,Human |,Alive |,Jecrass |,Chandrar |,Jecrass |,Monarch | Royal |,Leader | Warrior |,https://wiki.wanderinginn.com/images/6/67/Raelt_Leysars.png,1,1972,6
Fetohep,Fetohep | King Fetohep | Eternal Majesty | Undying Majesty | Ruler of the Sands | Guardian of the Kingdom of Khelt in Death and Life | Client F | Protectorate of Jecrass | Horselord of the Windswept Lands |,Male |,653 |,Undead |,Alive |,Khelt |,Chandrar |,Khelt |,Monarch | Royal |,Leader | Warrior |,https://wiki.wanderinginn.com/images/0/0e/Fetohep_with_sword.png,1,3583,1
Olesm,Olesm Swifttail | Commander Olesm | Strategos Olesm |,Male |,22 |,Drake |,Alive |,Liscor |,Izril |,Liscor |,Strategist |,Leader |,https://wiki.wanderinginn.com/images/d/df/Olesm_transformation_by_Butts.png,1,4692,1
Lism,Lism Swifttail |,Male |,43 |,Drake |,Alive |,Liscor |,Izril |,Liscor |,Mayor | Merchant |,Non-combat |,https://wiki.wanderinginn.com/images/b/b9/Lism_Councilmember_by_DemonicCriminal.png,1,1764,1
Zevara,Zevara Sunderscale | Captain Z |,Female |,28 |,Drake |,Alive |,Liscor | Liscor's City Watch |,Izril |,Liscor |,Guard |,Leader | Warrior |,https://wiki.wanderinginn.com/images/1/1e/Zevara_portrait_by_Demonic_Criminal.png,1,3128,1
Selys,Selys Shivertail |,Female |,21 |,Drake |,Alive |,Liscor's Adventurer Guild | Liscor,Izril |,Liscor |,Secretary |,Non-combat |,https://wiki.wanderinginn.com/images/0/0b/Selys_by_flauschesoeckchen.PNG_%282%29.png,1,4809,1
Relc,Relc Grasstongue | The Gecko of Liscor |,Male |,40 |,Drake |,Alive |,Liscorian Army | Liscor's City Watch |,Izril |,Liscor | The Wandering Inn | Cellidel |,Guard |,Warrior | ,https://wiki.wanderinginn.com/images/3/33/Relc.png,1,6554,1
Teriarch,Teriarch | Terrium Archelis Dorishe | Teriarch | Teriarch soth Verines | Teriarch of Kerozel | The Lord of Flame | Dragonlord of Flame | High Eminence Teriarch | Starfire Dragon of Iltanus | Ward-Regent of Voltail | Lord of Pyres | Champion of Ashen Wings | Doom of Amerital Goolm | Grand Magus Eldavin | Demsleth | Teri | Hot Thing | Old Smoker | Old Fool | Mr. Dragonlord of Burning Things |,Male |,58000 |,Dragon |,Alive |,Magnolia Reinhart | Immortals,Izril |,High Passes |,Noble |,Mage |,https://wiki.wanderinginn.com/images/8/87/Teriarch_webcomic.jpg,1,2911,1
Zel,Zel Shivertail | Tidebreaker | Lineholder General | The legendary General of the Line |,Male |,,Drake |,Deceased |,Magnolia Reinhart | Liscor |,Izril |,Liscor |,General |,Leader | Warrior |,https://wiki.wanderinginn.com/images/e/e4/Zel%2C_By_Artsy_Nada_%28Cutout_%2B_Edit%29.jpg,1,2603,1
Nerrhavia,Nerrhavia | Tyrant of Cloth | Tyrant of the Woven Citadel | Ruler of the Woven Citadel | Tyrant of Sands | Tyrant of Chandrar | Immortal Tyrant | Immortal Queen | Suzerain of Cloth | Ruler of Clothkind | Twisted Chamberlain of the Lacreous Courts | Empress Nerrhavia |,Female |,1000 |,String Person |,Alive |,Nerrhavia's Fallen |,Izril |,Nerrhavia's Fallen | Bloodfields |,Monarch | Royal |,Leader |,https://wiki.wanderinginn.com/images/4/4d/Nerrhavia_by_ArtsyNada.png,1,2260,1
Chaldion,Chaldion Oliwing | Grand Strategist Chaldion | Cyclops of Pallass | One Eye Cyclops |,Male |,106 |,Drake |,Alive |,Pallass |,Izril |,Pallass |,Strategist |,Leader |,https://wiki.wanderinginn.com/images/6/6f/Chaldion_by_DemonicCriminal.jpg,1,1711,1
Grimalkin,Grimalkin Duveig | Grimalkin the Sinew Magus | Grimalkin the Fist Mage | Grimalkin the Fist | Muscle Mage of Pallass | Magus G |,Male |,31 |,Drake |,Alive |,Pallass |,Izril |,Pallass |,Mage | ,Mage |,https://wiki.wanderinginn.com/images/f/fd/Grimalkin_2_by_pkay.png,1,2782,6
Saliss,Saliss Oliwing | Saliss of Lights | Saliss the Naked | That Naked Bastard | Pallass' Number One Nuisance | Pallass' one-Drake army | That Insane [Alchemist] | The Mad Drake of Pallass | Chaldion's heir of war | Onieva Oliwing |,Female |,,Drake |,Alive |,Pallass | Alchemist's Guild |,Izril |,Pallass |,Alchemist | Adventurer |,Rogue |,https://wiki.wanderinginn.com/images/f/f6/Saliss_by_DemonicCriminal.jpg,1,5417,1
Orjin,Orjin | Orjin of Pomle | Strongest of Pomle |,Male |,37 |,Human |,Alive |,Pomle |,Chandrar |,Pomle |,Mayor | Soldier |,Warrior | Leader |,https://wiki.wanderinginn.com/images/8/87/Orjin_portrait_by_DemonicCriminal.jpg,1,2382,6
Badarrow,Badarrow |,Male |,,Hobgoblin | Goblin |,Alive |,Redfang Tribe | Flooded Waters Tribe | The Wandering Inn | Fellowship of the Inn |,Izril |,The Wandering Inn | Goblinhome |,Guard |,Archer |,https://wiki.wanderinginn.com/images/a/ae/Badarrow.jpg,1,1222,3
Numbtongue,Numbtongue |,Male |,6 |,Hobgoblin | Goblin |,Alive |,Redfang Tribe | Flooded Waters Tribe | The Wandering Inn | Fellowship of the Inn |,Izril |,The Wandering Inn |,Guard | Bard |,Warrior |,https://wiki.wanderinginn.com/images/2/2a/Numbtongue_by_ArtsyNada.png,1,5833,3
Rabbiteater,Rabbiteater | Goblin Slayer | Ser Solstice | Lightherald of Calenfer | Ser Rabbiteater Solstice | Knight of Solstice | Rabbit Eater | Ser Rabbit | Rabbiteater of Champions |,Male |,,Hobgoblin | Goblin |,Alive |,Redfang Tribe | Flooded Waters Tribe | The Wandering Inn | Order of Seasons | Order of Solstice |,Izril |,The Wandering Inn |,Knight |,Warrior |,https://wiki.wanderinginn.com/images/0/07/Rabbiteater.jpg,1,4166,3
Quarass,Quarass | Emirea du Merrimorn |,Female |,13 |,Human |,Alive |,Reim | Germina,Chandrar |,Germina |,Monarch | Royal |,Non-combat |,https://wiki.wanderinginn.com/images/5/58/Quarass.png,1,1921,1
Trey,Trey Atwood | Troy Atlas | Worm Guy |,Male |,17 |,Human |,Alive |,Reim | Earthers,Chandrar |,Reim |,Vassal |,Mage |,https://wiki.wanderinginn.com/images/4/4e/Trey_Selfie_portrait_by_auspiciousOctopi.jpg,1,6691,2
Teresa,Teresa Atwood | Teres |,Female |,17 |,Human |,Alive |,Reim | Earthers,Chandrar |,Reim |,Vassal | Soldier |,Warrior |,https://wiki.wanderinginn.com/images/6/66/Teres.png,1,2410,2
Gazi,Gazi Pathseeker | Gazi the Omniscient | Gazi of Reim | Dunestalker | Adventurer Pathseeker |,Female |,,Half-Gazer |,Alive |,Reim | Seven |,Chandrar |,Reim |,Adventurer | Vassal |,Rogue |,https://wiki.wanderinginn.com/images/8/8b/Gaziattackcolor-by-pkay.png,1,2369,1
Orthenon,Orthenon | King of Destruction's Left Hand | Steward of Destruction |,Male |,70 |,Human |,Alive |,Reim | Seven |,Chandrar | Drath |,Drath | Reim |,Vassal | Soldier |,Warrior |,,1,1246,1
Mars,Mars | Mars the Illusionist | Eternal Gladiator |,Female |,,Human |,Alive |,Reim | Seven |,Chandrar |,Reim |,Vassal | Soldier |,Warrior |,https://wiki.wanderinginn.com/images/9/97/Mars_by_pkay.png,1,1233,2
Flos,Flos Reimarch | The King of Destruction | The Sleeping King | King of Reim | Flos of Reim | King of Bandages |,Male |,44 |,Human |,Alive |,Reim | Seven |,Chandrar |,Reim |,Monarch | Royal |,Warrior | Leader |,https://wiki.wanderinginn.com/images/1/1e/Flos_Reimarch_by_Jason_Yao.jpg,1,5574,1
Persua,Persua Alcherie Mavva |,Female |,,Human |,Unknown |,Runner's Guild |,Izril |,Celum |,Runner |,Non-combat |,https://wiki.wanderinginn.com/images/3/36/Persua_byLeChatDemon.jpg,1,1209,1
Ryoka,Ryoka Dawning Griffin | Batman | Wind Runner | Wind Runner of Reizmelt | Windfriend | Sunburst | Windy Girl | Windy Girl of Ailendamus |,Female |,21 |,Human |,Alive |,Runner's Guild | Earthers,Izril | Baleros | Terandria |,North Izril | Elvallian | Ailendamus | Savere,Runner | Courier |,Non-combat |,https://wiki.wanderinginn.com/images/d/d6/Ryoka_Portrait_by_LeChatDemon.jpg,1,29765,1
Ilvriss,Ilvriss Gemscale | Wall Lord Ilvriss | Employer I |,Male |,,Drake |,Alive |,Salazsar |,Izril |,Salazsar |,Noble |,Non-combat |,https://wiki.wanderinginn.com/images/a/aa/Ilvriss-by-curry.png,1,4525,2
Nerry,Nerry | Nerrhavia | Baroness Ichinee vel Tiena | Erin Solstice |,Female |,,Sariant Lamb |,Alive |,Unseen Empire | The Wandering Inn,Izril |,Liscor |,Layabout |,Non-combat |,https://wiki.wanderinginn.com/images/1/1d/Sariant_by_Jawjee.jpg,1,504,9
Krshia,Krshia Silverfang | Silvermouth |,Female |,41 |,Gnoll |,Alive |,Silverfang Tribe | Liscor |,Izril |,Liscor |,Mayor | Merchant |,Non-combat |,https://wiki.wanderinginn.com/images/8/8a/Krshia_by_LeChatDemon.jpg,1,4130,1
Ishkr,Ishkr Coresh Silverfang | Isk |,Male |,19 |,Gnoll |,Alive |,Silverfang Tribe | The Wandering Inn |,Izril |,Liscor | The Wandering Inn |,Innkeeper |,Non-combat |,https://wiki.wanderinginn.com/images/6/6d/Ishkr_with_suit_cut_out_by_Butts.jpg,1,1844,4
Octavia,Octavia Cotton | Stitch-girl | Octavia the Very Panicked |,Female |,,String Person |,Alive |,Stitchworks | The Wandering Inn | Fellowship of the Inn |,Izril | Chandrar |,Nerrhavia's Fallen | Celum | The Wandering Inn |,Alchemist |,Non-combat |,https://wiki.wanderinginn.com/images/c/cd/Octavia_cutout_by_auspiciousOctopi.jpg,1,2408,1
Mrsha,Mrsha | Doombringer | Doombearer | Mrsha du Marquin | Mrsha of the Stone Spears Tribe | Mrsha of The Wandering Inn | Mrsha the Great and Terrible | Mrsha the White | Mrsha the.... | Wielder of the Erin's Fire | Guardian of the Inn | Mri | [Prince] Merton the Fabulous |,Female |,8 |,Gnoll |,Alive |,The Wandering Inn |,Izril |,The Wandering Inn |,Druid | Child |,Mage |,https://wiki.wanderinginn.com/images/0/0a/Mrsha_by_ccyan.jpg,1,17670,2
Erin,Erin Solstice | The Crazy Human Innkeeper | The Crazy Human of Liscor | Crazy Innkeeper of Liscor | [Innkeeper] of Liscor | Innkeeper of Solstice | Destroyer | Deceiver | 'Joseph' | Sky | Goblinfriend of Izril | Grandmaster of Scales | Innkeeper of Scales | Lady Chaos | The Damsel of Drama | The Harbinger of Hilarity | That damn Human | The daughter of disarray | That agent of chaos |,Female |,21 |,Human |,Alive |,The Wandering Inn | Earthers,Izril |,The Wandering Inn |,Innkeeper |,Mage |,https://wiki.wanderinginn.com/images/thumb/3/38/Erin_official_by_ArtsyNada.webp/1878px-Erin_official_by_ArtsyNada.webp.png,1,62543,1
Kevin,Kevin Hall | Kevin of Liscor |,Male |,,Human |,Deceased |,The Wandering Inn | Flooded Waters Tribe | Earthers,Izril |,Invrisil | The Wandering Inn | Esthelm |,Smith |,Non-combat |,https://wiki.wanderinginn.com/images/7/78/Kevin_by_MG.jpg,1,1941,2
Drassi,Drassi Tewing | Reporter Drassi | That Drake |,Female |,,Drake |,Alive |,The Wandering Inn | Wistram News Network |,Izril |,Liscor | Pallass |,Secretary | Innkeeper | News |,Non-combat |,https://wiki.wanderinginn.com/images/4/4f/M13Fame_by_Brack.jpg,1,1857,1
Geneva,Geneva Scala | Doctor | Last Light of Baleros |,Female |,25 |,Human |,Alive |,United Nations |  Forgotten Wing Company | Earthers,Baleros |,Talenqual | Gathering Citadel | Elvallian |,Doctor |,Non-combat |,https://wiki.wanderinginn.com/images/5/58/Geneva_by_Chalyon.jpg,1,5078,3
Laken,Laken Godart | Emperor Laken | Emperor of the Unseen | Emperor of Beasts | Protector of Durene's Cottage | Ruler of Riverfarm Village | L |,Male |,24 |,Human |,Alive |,Unseen Empire | Earthers,Izril |,Riverfarm |,Monarch |,Non-combat |,https://wiki.wanderinginn.com/images/9/9e/Laken_Godart_%28By_Miguel%29.jpg,1,3997,3
Durene,Durene Faerise |,Female |,,Half-Troll |,Alive |,Unseen Empire | Order of Solstice |,Izril |,Riverfarm |,Farmer | Vassal |,Warrior |,https://wiki.wanderinginn.com/images/6/6d/Durene.jpg,1,4317,3
Wiskeria,Wiskeria | Wis |,Female |,24 |,Human |,Alive |,Unseen Empire | Witches,Izril |,Riverfarm |,Witch | Adventurer | General | Vassal |,Mage |,https://wiki.wanderinginn.com/images/8/8d/Wiskeria_by_JohnDoe.jpg,1,3076,4
